"forest","acc.ff","size","acc.sf","moa.sf","md.sf","acc.ratio"
7,0.782608695652174,3,0.76087,0.84656,0.26667,0.972221157409182
7,0.782608695652174,5,0.80435,0.84014,0.26,1.02777884259082
7,0.782608695652174,7,0.80435,0.85176,0.25714,1.02777884259082
7,0.782608695652174,11,0.82609,0.83789,0.21818,1.05555768518164
7,0.782608695652174,13,0.86957,0.8425,0.25385,1.11111537036327
7,0.782608695652174,17,0.82609,0.84454,0.22353,1.05555768518164
7,0.782608695652174,3,0.71739,0.79607,0.26667,0.916663472227546
7,0.782608695652174,5,0.71739,0.79762,0.28,0.916663472227546
7,0.782608695652174,7,0.73913,0.79331,0.24762,0.944442314818364
7,0.782608695652174,11,0.78261,0.79877,0.24364,1
7,0.782608695652174,13,0.76087,0.80409,0.22821,0.972221157409182
7,0.782608695652174,17,0.73913,0.81467,0.21471,0.944442314818364
7,0.782608695652174,3,0.73913,0.84359,0.2,0.944442314818364
7,0.782608695652174,5,0.71739,0.83036,0.24,0.916663472227546
7,0.782608695652174,7,0.80435,0.82259,0.26667,1.02777884259082
7,0.782608695652174,11,0.78261,0.82537,0.26909,1
7,0.782608695652174,13,0.73913,0.82222,0.2641,0.944442314818364
7,0.782608695652174,17,0.76087,0.81947,0.25147,0.972221157409182
7,0.782608695652174,3,0.78261,0.83712,0.2,1
7,0.782608695652174,5,0.78261,0.84066,0.18,1
7,0.782608695652174,7,0.78261,0.84135,0.1619,1
7,0.782608695652174,11,0.80435,0.83214,0.2,1.02777884259082
7,0.782608695652174,13,0.73913,0.8326,0.21026,0.944442314818364
7,0.782608695652174,17,0.71739,0.82329,0.20588,0.916663472227546
7,0.782608695652174,3,0.78261,0.82544,0.2,1
7,0.782608695652174,5,0.78261,0.82155,0.2,1
7,0.782608695652174,7,0.80435,0.82581,0.21905,1.02777884259082
7,0.782608695652174,11,0.78261,0.82716,0.20364,1
7,0.782608695652174,13,0.80435,0.82457,0.23333,1.02777884259082
7,0.782608695652174,17,0.78261,0.81656,0.2,1
7,0.782608695652174,3,0.73913,0.81515,0.13333,0.944442314818364
7,0.782608695652174,5,0.78261,0.81223,0.14,1
7,0.782608695652174,7,0.80435,0.81209,0.17143,1.02777884259082
7,0.782608695652174,11,0.76087,0.81596,0.17091,0.972221157409182
7,0.782608695652174,13,0.76087,0.81693,0.20513,0.972221157409182
7,0.782608695652174,17,0.76087,0.82254,0.21912,0.972221157409182
7,0.782608695652174,3,0.73913,0.86524,0.13333,0.944442314818364
7,0.782608695652174,5,0.69565,0.86526,0.18,0.888884629636728
7,0.782608695652174,7,0.76087,0.85865,0.1619,0.972221157409182
7,0.782608695652174,11,0.78261,0.84955,0.19273,1
7,0.782608695652174,13,0.76087,0.84708,0.22821,0.972221157409182
7,0.782608695652174,17,0.78261,0.84237,0.21765,1
7,0.782608695652174,3,0.69565,0.84528,0.13333,0.888884629636728
7,0.782608695652174,5,0.73913,0.85115,0.2,0.944442314818364
7,0.782608695652174,7,0.67391,0.83926,0.2,0.86110578704591
7,0.782608695652174,11,0.71739,0.82666,0.19636,0.916663472227546
7,0.782608695652174,13,0.71739,0.83021,0.22051,0.916663472227546
7,0.782608695652174,17,0.71739,0.83318,0.20588,0.916663472227546
7,0.782608695652174,3,0.73913,0.802,0.2,0.944442314818364
